79922,80671,83038,84327,Bulloch,Georgia
24635,24362,24434,24438,Burke,Georgia
25549,26164,26745,26887,Butts,Georgia
5574,5541,5474,5457,Calhoun,Georgia
54931,55786,56971,58118,Camden,Georgia
11022,10947,10962,11059,Candler,Georgia
119498,121595,124530,127098,Carroll,Georgia
68006,68436,68836,68910,Catoosa,Georgia
12534,12820,12788,12934,Charlton,Georgia
295089,295690,301025,303655,Chatham,Georgia
9475,9044,8746,8661,Chattahoochee,Georgia
24925,24844,24962,25222,Chattooga,Georgia
268156,274732,281194,286602,Cherokee,Georgia
128551,129206,129726,129933,Clarke,Georgia
2828,2867,2853,2853,Clay,Georgia
299439,299210,298399,298300,Clayton,Georgia
6720,6702,6679,6746,Clinch,Georgia
766378,766662,771840,776743,Cobb,Georgia
43060,43046,43247,43317,Coffee,Georgia
45891,45763,45830,46167,Colquitt,Georgia
156865,159662,162471,165162,Columbia,Georgia
17236,17262,17409,17714,Cook,Georgia
146747,149973,152879,155892,Coweta,Georgia
12103,12139,12169,12277,Crawford,Georgia
20053,20000,19729,19631,Crisp,Georgia
16239,16221,16090,16165,Dade,Georgia
27059,28498,30189,31732,Dawson,Georgia
29326,29091,29019,29087,Decatur,Georgia
764489,759113,761779,762992,DeKalb,Georgia
19949,19734,19873,19776,Dodge,Georgia
11156,10869,10585,10981,Dooly,Georgia
85155,82235,82895,82645,Dougherty,Georgia
144648,145748,147453,149160,Douglas,Georgia
10794,10635,10560,10563,Early,Georgia
3721,3698,3686,3709,Echols,Georgia
65169,66764,69034,71541,Effingham,Georgia
19668,19571,19873,20013,Elbert,Georgia
22893,22899,22946,23119,Emanuel,Georgia
10792,10697,10659,10754,Evans,Georgia
25436,25797,25733,25955,Fannin,Georgia
119491,120715,121981,123351,Fayette,Georgia
98583,98487,99437,100113,Floyd,Georgia
252901,260783,267312,272887,Forsyth,Georgia
23471,23510,24146,24782,Franklin,Georgia
1069394,1062451,1073698,1079105,Fulton,Georgia
31427,32106,32403,32860,Gilmer,Georgia
2899,2901,2928,2954,Glascock,Georgia
84482,84786,85145,86172,Glynn,Georgia
57722,58239,58855,59757,Gordon,Georgia
26224,25850,25994,26066,Grady,Georgia
19028,19544,20111,20722,Greene,Georgia
958359,965338,976173,983526,Gwinnett,Georgia
46142,46748,47465,48757,Habersham,Georgia
203473,207080,212621,217267,Hall,Georgia
8711,8677,8417,8676,Hancock,Georgia
